IMAGE80320140905232724.fits	20.6213551	232.240234
IMAGE80320140905232737.fits	18.7126541	303.366211
IMAGE80320140905232758.fits	61.7505035	177.336426
IMAGE80320140905232819.fits	14.5271349	317.116455
IMAGE80320140905232835.fits	24.6253986	289.029053
IMAGE80320140905232850.fits	15.8190575	408.508301
IMAGE80320140905232902.fits	11.6741543	480.315063
IMAGE80320140905232916.fits	20.4114342	385.716431
IMAGE80320140905232927.fits	39.4805565	247.554443
IMAGE80320140905235036.fits	17.2080975	297.365601
IMAGE80320140905235045.fits	14.9951391	360.289062
IMAGE80320140905235054.fits	14.48594	414.078369
IMAGE80320140905235102.fits	15.8848505	368.214722
IMAGE80320140905235111.fits	19.0056782	235.570068
IMAGE80320140905235120.fits	23.7875996	147.871582
IMAGE80320140905235128.fits	30.2270832	141.242676
IMAGE80320140905235156.fits	50.4252777	130.652466
IMAGE80320140905235205.fits	53.5480881	129.508789
IMAGE80320140905235213.fits	54.0848198	125.848511
IMAGE80320140905235222.fits	52.1607399	125.681396
IMAGE80320140905235231.fits	48.0566826	126.384644
IMAGE80320140905235240.fits	42.1863747	132.135132
IMAGE80320140905235248.fits	35.0797577	142.249878
IMAGE80320140905235256.fits	27.3597431	176.506592
IMAGE80320140905235306.fits	19.6190929	287.741333
IMAGE80320140905235315.fits	12.2779369	368.116333
IMAGE80320140905235324.fits	5.52115345	665.473877
IMAGE80320140905235343.fits	6.40215969	765.373779
IMAGE80320140905235352.fits	11.1854944	428.866821
IMAGE80320140905235402.fits	14.8192692	731.212158
IMAGE80320140905235411.fits	17.4666348	152.84021
IMAGE80320140905235421.fits	22.142683	135.339111
IMAGE80320140905235432.fits	33.4154205	130.248657
IMAGE80320140905235453.fits	58.7502518	125.984009
IMAGE80320140905235502.fits	64.99841309999999	120.064697
IMAGE80320140905235512.fits	66.9719315	122.398438
IMAGE80320140905235522.fits	65.357338	123.786987
IMAGE80320140905235531.fits	60.7086678	120.89563
IMAGE80320140905235541.fits	53.5509033	121.04126
IMAGE80320140905235550.fits	44.5163994	127.932617
IMAGE80320140905235600.fits	34.4846497	138.530151
IMAGE80320140905235610.fits	24.6122551	156.947876
IMAGE80320140905235619.fits	16.1326389	239.429688
IMAGE80320140905235628.fits	10.3832893	371.597656
IMAGE80320140905235637.fits	9.34240818	449.045288
IMAGE80320140905235647.fits	12.6515684	477.187378
IMAGE80320140905235657.fits	17.5385036	315.688843
IMAGE80320140905235707.fits	22.3540115	244.71814
IMAGE80320140905235717.fits	25.665659	163.799194
IMAGE80320140905235727.fits	25.4922142	147.682007
IMAGE80320140905235739.fits	23.9867363	138.198486
IMAGE80320140905235753.fits	39.7189522	129.393555
IMAGE80320140905235814.fits	71.0952606	126.536011
IMAGE80320140905235824.fits	75.82520289999999	122.151978
IMAGE80320140905235834.fits	75.87328340000001	129.063232
IMAGE80320140905235844.fits	72.1805954	129.072632
IMAGE80320140905235854.fits	65.3223038	124.256226
IMAGE80320140905235924.fits	15.3094616	297.76001
IMAGE80320140905235934.fits	17.852232	339.467773
IMAGE80320140905235944.fits	22.1653805	295.489014
IMAGE80320140905235954.fits	27.4929333	221.976929
